0,AAL,2012-12-31,1330000000,-1813000000,58,-1876000000,23510000000,24891000000,24855000000,2012,-5.6,335000000
1,AAL,2013-12-31,2175000000,-1324000000,59,-1834000000,42278000000,45009000000,26743000000,2013,-11.25,163022222.222
2,AAL,2014-12-31,1768000000,4099000000,63,2882000000,43225000000,41204000000,42650000000,2014,4.02,716915422.886
3,AAL,2015-12-31,1085000000,5496000000,73,7610000000,48415000000,42780000000,40990000000,2015,11.39,668129938.543
4,AAP,2012-12-29,598111000,657915000,50,387670000,4613814000,3403120000,6205003000,2012,5.29,73283553.8752
5,AAP,2013-12-28,1112471000,663016000,50,391758000,5564774000,4048569000,6493814000,2013,5.36,73089179.1045
6,AAP,2015-01-03,104671000,854802000,45,493825000,7962358000,5959446000,9843861000,2014,6.75,73159259.2593
7,AAP,2016-01-02,90782000,818296000,45,473398000,8134565000,5673917000,9737018000,2015,6.45,73395038.7597
8,AAPL,2013-09-28,14259000000,50155000000,38,37037000000,207000000000,83451000000,170910000000,2013,40.03,925231076.692
9,AAPL,2014-09-27,13844000000,53483000000,39,39510000000,231839000000,120292000000,182795000000,2014,6.49,6087827426.81
10,AAPL,2015-09-26,21120000000,72515000000,40,53394000000,290345000000,170990000000,233715000000,2015,9.28,5753663793.1
11,AAPL,2016-09-24,20484000000,61372000000,39,45687000000,321686000000,193437000000,215639000000,2016,8.35,5471497005.99
13,ABBV,2013-12-31,9595000000,5610000000,76,4128000000,29198000000,24706000000,18790000000,2013,2.58,1600000000
14,ABBV,2014-12-31,8348000000,2760000000,78,1774000000,27513000000,25771000000,19960000000,2014,1.11,1598198198.2
15,ABBV,2015-12-31,8399000000,7331000000,80,5144000000,53050000000,49105000000,22859000000,2015,3.15,1633015873.02
16,ABC,2013-09-30,1231006000,898355000,3,433707000,18918638000,16598893000,87959167000,2013,1.88,230695212.766
17,ABC,2014-09-30,1808513000,753497000,2,274230000,21532183000,19575284000,119569127000,2014,1.22,224778688.525
18,ABC,2015-09-30,2167442000,378000000,3,-138165000,27962982000,27346596000,135961803000,2015,-0.62,222846774.194
19,ABC,2016-09-30,2741832000,1530822000,3,1427929000,33656200000,31526796000,146849686000,2016,6.73,212173699.851
20,ABT,2012-12-31,10802000000,100000000,53,5963000000,67235000000,40514000000,19050000000,2012,3.76,1585904255.32
